product_id,product_name,product_price,product_description
1,Dog Food,20.99,High-quality dog food
2,Dog Toy,9.99,Interactive dog toy
3,Dog Bed,39.99,Comfortable dog bed
4,Dog Collar,12.99,Stylish dog collar
5,Chew Bone,7.49,Natural chew bone
6,Dog Shampoo,15.99,Gentle dog shampoo
7,Pet Brush,8.99,Soft pet grooming brush
8,Puppy Training Pads,19.99,Absorbent training pads
9,Dog Leash,14.99,Durable dog leash
10,Dog Treats,5.99,Tasty dog treats
11,Dog Ball,6.99,Fetch and play ball
12,Dog Crate,34.99,Secure dog crate
13,Dog Grooming Kit,29.99,Complete grooming kit for dogs
14,Dog Dental Chews,11.99,Dental chews for oral health
15,Dog GPS Tracker,49.99,GPS tracker for dogs
16,Reflective Dog Harness,18.99,Reflective harness for night walks
17,Dog Raincoat,24.99,Water-resistant dog raincoat
18,Squeaky Plush Toy,8.49,Cute squeaky plush toy for dogs
19,Dog Sunglasses,15.99,UV-protective sunglasses for dogs
20,Dog Bandana,6.99,Stylish bandana for dogs
21,Portable Dog Water Bottle,12.99,Convenient water bottle for dogs on the go
22,Interactive Fetch Ball,11.49,Interactive ball for fetch games
23,Dog Nail Clippers,9.99,Safe and easy-to-use nail clippers for dogs
24,Dog Harness with Leash,29.99,Adjustable harness with matching leash
25,Dog Backpack,19.99,Backpack for dogs to carry essentials on walks
26,Dog Frisbee,7.99,Durable frisbee for outdoor play
27,Dog Paw Balm,13.99,Moisturizing paw balm for dogs
28,Dog Puzzle Toy,16.99,Brain-stimulating puzzle toy for dogs
29,Dog Dental Spray,10.99,Oral hygiene dental spray for dogs
30,Dog Poop Bags,5.49,Biodegradable poop bags for easy cleanup
31,Dog Grooming Gloves,14.49,Gentle grooming gloves for dogs
32,Dog Cooling Mat,22.99,Cooling mat for hot days
33,Dog Training Clicker,3.99,Training clicker for positive reinforcement
34,Dog Tug Toy,9.49,Interactive tug-of-war toy for dogs
35,Dog Ear Cleaner,11.49,Gentle ear cleaner solution for dogs
